"id","distratadas","entregues","quantidade","vigentes"
"0be407e6-3d5b-429b-a584-ed3aee11bca7",144,0,144,0
"d00e9e8d-d8fc-4c25-87e9-6dd4824bf056",0,432,432,0
"65367815-4690-419b-96fa-009992428237",0,240,240,0
"bb14d755-0445-443b-83fa-ad648b2186bc",0,240,240,0
"5c20362c-0941-4986-aa44-30b342d491f8",0,114,114,0
"49c10f06-cedf-4fd7-84d3-73c4143334e1",0,82,82,0
"08afd64f-9bce-4ec8-9d2c-c9e0d4da961f",0,272,272,0
"3e5b658c-dfa0-482a-9974-e604a28c520e",0,272,272,0
"521076c4-bbd4-4fb1-85f6-f1d11772a5b5",0,0,288,288
"94ab1541-1a8f-4ca9-934f-f758a6538692",0,272,272,0
"acc5ec15-1eec-40c4-9350-d2d3eebe9c6f",0,272,272,0
"3f344d40-008b-4d69-b882-e9f1955e361d",0,304,304,0
"80eba3d1-12dc-400b-b5b0-5238cb9c0879",0,0,304,304
"2850a9f6-79e0-4e85-a5f9-579a08f01f96",0,0,304,304
"b2b55c81-8220-4a77-a54c-46326363e297",0,224,224,0
"cf2608ad-7b78-42d0-8ab7-314f76805a37",0,304,304,0
"e4067a88-bf8f-4e81-893d-ccd25a7ec953",0,144,144,0
"0dc340ce-b5bf-40d9-9726-bc733194107c",0,349,349,0
"334dda09-167d-42e4-9002-430cf345dc2b",0,490,490,0
"af3856d4-ec4b-4915-8596-a6dcb945ca7f",0,300,300,0
"5ae60098-92c0-46bf-bb87-69f1835c1d3b",0,600,600,0
"a4173398-642e-4e9a-a869-83dd5570074c",0,800,800,0
"0bafba0a-a8f2-49f6-b547-0d749d24a177",0,179,179,0
"5941e7e0-594d-4083-ae3e-d35802d51832",0,414,414,0
"1c67d1f8-dc2e-4e20-a6ae-2b7a729f5f48",0,417,417,0
"cb3f9347-d5d3-47ce-ba4d-d2f4fe545a7c",0,0,300,300
"44f36bc7-ccfc-4c44-984f-7f74fa103b92",0,684,684,0
"7a52ef20-6d4f-434e-8bae-298c2d6ead5b",0,100,100,0
"4634e97d-19a6-48c2-9cf6-567fbe886ab2",0,200,200,0
"6967c371-8c54-407b-b2f8-a158f1891748",0,500,500,0
"48789b9c-2c54-47b7-b1d7-c31bde39f7c8",0,200,200,0
"32046219-255a-4462-ae19-9d169692768f",0,100,100,0
"1682f765-06f9-4760-9f51-9a7cd28b2a5b",0,500,500,0
"5cb39535-1a3e-4e00-b726-7c40c51dbed4",0,500,500,0
"eef1c038-684b-4176-814f-dc4a8efb3f3d",0,208,208,0
"bd24087b-5505-4b72-8913-fb7e2b0eea50",0,208,208,0
"d2d30d36-f702-4565-9bfa-62aed345d20b",0,208,208,0
"9bcc3221-6609-45f9-88b5-903f678a7863",0,300,300,0
"e9a20ee8-c859-48d3-b963-ca4b99311395",0,50,50,0
"d3aac67c-fd44-4d0e-abc9-a6972792ab11",0,436,436,0
"1196de8e-85ae-4edb-805d-11a45b94747b",0,250,250,0
"6b6fe7c4-4592-43a7-94f8-aba6107a4efd",0,135,135,0
"3a6e3e0f-07f9-4197-8961-0121656ae0dc",0,412,412,0
"188391e1-71a9-4527-8692-e9e387ccaeaa",0,67,67,0
"43ca03dd-6066-4434-9780-324607becd97",0,222,222,0
"c1739aa8-52d2-45be-bc5b-e2a9eaf68ff5",0,228,228,0
"dd15fd83-be3e-4ddf-ba2f-fefd1f4385a9",0,450,450,0
"8798e55f-3f72-4183-a9fb-15d08788d537",0,2148,2148,0
"107b64fc-a1bb-4fb6-8aea-8ca92fb95f7a",0,2218,2218,0
"870e782b-baa9-4ad5-b1bd-9ea1e102ff1d",0,528,528,0
"b5812fbf-c470-49b9-88b6-ce1f7b70afd5",0,1440,1440,0
"1bd48cfe-d8a7-40fb-9ace-76626d708668",0,500,500,0
"340a0b1b-768c-460f-a4cc-cbabe9d65886",0,500,500,0
"9c33d561-c659-437a-94bd-f551cedbf9c2",0,500,500,0
"e0937a2c-2bc2-4284-83d0-a7f9b1636ee5",0,500,500,0
"dcf60c28-2fb6-404a-993d-f1ec4cc97137",0,0,224,224
"0a7d775d-9204-423d-9800-b9c5abd5a7eb",0,0,276,276
"beb25e9d-16a3-4339-bbdf-d97e9a6d15e5",0,330,330,0
"eb2877d0-475e-4348-84b6-c0c5140c2162",0,208,208,0
"ada6c313-ebe9-4f4a-9e7f-e9a9276036d4",11,0,11,0
"9c1100dd-061d-4e75-a554-18d6fdc18d6f",0,205,205,0
"ca6b4ef7-bf64-43de-be7a-ccaa64185b2e",0,300,300,0
"03505d47-331f-4be1-84df-e350908b7a36",0,170,170,0
"63894e00-3ebf-4f52-b3d2-7dd3b9fc0534",0,197,197,0
"6a31f500-3edd-4176-915d-092c85da14fb",0,355,355,0
"04880ecd-5b17-4aa7-a7be-3799e00ea0f5",0,160,160,0
"92383bee-d94c-4322-932f-eedc566a110d",0,97,97,0
"cdbbf69a-ac45-47cc-8a02-2f319767132f",0,312,312,0
"00570856-d5e6-43bc-943e-0a77d0eddff6",0,359,359,0
"ec9aebf4-b597-4c56-a219-b163b7ab3274",0,90,90,0
"9bc5caf7-9c53-4623-9692-0b9987fc5c32",0,205,205,0
"5f7ef5f2-9dd4-4fe3-9b06-a1d8fbbcf030",0,216,216,0
"e63f9703-de89-49ef-9a6e-3861dd0b00f8",0,142,142,0
"b8a3feed-c410-492f-b9b3-c75e0ce1323a",0,170,170,0
"09eac7e9-6c69-43e8-ae29-9ce5ec6eeb22",0,101,101,0
"0f759caa-7dcb-407a-95c7-176e414819af",0,112,112,0
"63405a3d-4107-4625-aa11-eb7cf470f2ce",0,5384,5384,0
"6eafce4a-9161-4510-a743-8d8664e2dfce",0,3511,3511,0
"c2a64011-227b-4ffe-93b7-2150081835c9",0,784,784,0
"2c240b47-ebf4-43a4-a17a-52e867f1325d",0,2000,2000,0
"9dc8304e-59d0-4bbb-af48-ada1443dfd14",0,256,256,0
"e593b287-6882-43eb-8b06-e698e5cf5af4",0,150,150,0
"08f74ce4-ace6-4d57-afa4-8bde626458be",0,196,196,0
"2e4ce3b9-645c-4610-9fa5-283bbc3c8aeb",0,194,194,0
"f84f5d19-a7a1-46c1-beba-cf0a3f2a61a8",0,208,208,0
"bc75db13-d3a5-417f-81ae-427693c8f6e1",0,230,230,0
"809a5c9e-655c-4e34-8cf0-6c64354548f6",0,136,136,0
"d39ba54a-7a84-4d07-8bf1-c13ca06195b8",0,423,423,0
"a00b035f-8045-4f67-a1a0-a6fb28cd2165",0,72,72,0
"d5007e23-76b6-473a-84ef-ed6fdf5ed200",0,500,500,0
"4a4394cf-3c18-4cb6-bd5c-6ea5d10a79eb",0,500,500,0
"41f9d561-4135-43dd-85b9-859c62bb02c9",0,340,340,0
"1deb8974-5c81-4d3c-b16d-764b8c3c46cd",0,400,400,0
"33f51567-2b1a-46dc-9a1c-b9e04ec9851b",0,300,300,0
"d307d25f-9830-4c2f-a0f1-b072017c6edd",0,540,540,0
"53075039-a33e-4491-a615-9213c231210f",0,500,500,0
"77dc28eb-ae27-4fcd-97fc-ecd97d10e2d6",0,466,466,0
"1d011a49-08bf-4419-b16e-6b85b8cb12f1",0,500,500,0
"972b25bb-5d48-48e9-b36a-7b34d040dcef",0,184,184,0
"e4d85ed9-2b64-4194-b6d5-d70b7fea2293",0,316,316,0
"d3a6c4be-b4a2-4add-80da-e226f4d44568",0,250,250,0
"95e1e8fb-10ca-4506-a96a-7bf0d4790626",0,1000,1000,0
"3c4a3b34-81f1-4d8f-8b0e-1a0486915022",0,667,667,0
"682f951d-d45b-49f5-9220-f4e9f9de369a",59,0,59,0
"bca8db2b-2af8-4596-9d1d-cfe1571f8a4f",0,0,890,890
"93438291-2df1-446b-854e-da32c56bb307",0,150,150,0
"dfc91695-f3c1-4864-86b1-9250ec8d44b2",0,550,550,0
"e6125c3b-6e8c-4ee6-868c-b98a8a4715b8",0,384,384,0
"2d713af4-15ed-43e7-a5ed-699e0c95fec4",0,96,96,0
"22a73ffe-c5e4-401a-9847-861190cdec11",0,500,500,0
"aa578c02-c605-4b31-9348-3de8600136d3",0,0,1152,1152
"cc913af8-8b09-40c5-8f31-17dd3ab38860",0,1008,1008,0
"e18775d5-a56c-423b-86b6-efeec2ff7e08",0,304,304,0
"fc0c3ddd-8c93-44d5-b0f4-91cf57aa118a",0,704,704,0
"39314cc1-9059-49c5-b729-7f8805c87a14",0,2720,2720,0
"096d7d87-8dc5-43fe-ab13-cd97716036f0",0,0,768,768
"dda8c4e3-e146-4af0-9dad-2c02a6400844",0,352,352,0
"0c542c65-acb1-417b-98c3-d32e0a96da86",0,0,1000,1000
"f6fc438e-6eec-4efb-8f62-8522f186913e",0,222,222,0
"2b75145d-4e6c-44e4-91ee-f1153705d512",0,480,480,0
"833ef0ea-8fd9-4d31-bad4-e6c220639380",0,480,480,0
"ac4aab80-45a1-457a-8344-b0f41a3aa9f8",300,0,300,0
