"id","bairro","cep","logradouro","numero","texto","tipo_logradouro","fk_municipio"
"9a8b1e66-2c4b-4707-9c59-f16abd6481dd","SEM BAIRRO","DESCONHECIDO","RUA BORGES DE MELO","S/N","RUA BORGES DE MELO, S/N_","RUA","52caf41b-c2ee-4509-a0ce-213d3b6fa01a"
"a8821aba-4690-4b41-90c3-97002600a9a9","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","56fc65e9-f2e6-4bf7-8b21-e48d8ac03d72"
"3d2df02e-164a-4bbd-8755-2de00d526b2f","BAIRRO SOCIALISTA","76800000","AVENIDA AMAZONAS","9680","AV AMAZONAS, N� 9680 - BAIRRO SOCIALISTA","AVENIDA","5742cea5-ca67-4b7a-b84e-abe1f4dd3724"
"ee426b95-6369-4056-81b0-3f87774b56a0","SEM BAIRRO","76800000","RUA OSWALDO RIBEIRO","S/N","RUA OSWALDO RIBEIRO, S/N - SOCIALISTA","RUA","5742cea5-ca67-4b7a-b84e-abe1f4dd3724"
"f93c1fb9-1c72-40d2-9cc5-1290cfee2e45","SEM BAIRRO","76800000","AVENIDA AMAZONAS","738","AV AMAZONAS - LOTE 738","AVENIDA","5742cea5-ca67-4b7a-b84e-abe1f4dd3724"
"046bf496-beb5-45eb-bc96-03339588915b","SEM BAIRRO","76800000","RUA MANE GARRICHA","393","RUA MANE GARRICHA, LOTE 393","RUA","5742cea5-ca67-4b7a-b84e-abe1f4dd3724"
"84bdee69-480a-45b0-bd69-bfc8df8d4ed7","BAIRRO JD SANTANA","76800000","RUA DE ACESSO","S/N","RUA DE ACESSO,(ATUAL JOSE FAID), S/N BAIRRO JD SANTANA","RUA","5742cea5-ca67-4b7a-b84e-abe1f4dd3724"
"3e7334c2-c3d8-4216-badf-8a6d9cfbee99","BAIRRO SOCIALISTA","76800000","RUA IVAN CURI","S/N","RUA IVAN CURI, S/N - BAIRRO SOCIALISTA","RUA","5742cea5-ca67-4b7a-b84e-abe1f4dd3724"
"79f45710-4941-4df8-aed4-b04f2f0d063b","BAIRRO SOCIALISTA","76800000","RUA RAIMUNDO CANTUARIA","S/N","RUA RAIMUNDO CANTUARIA, S/N - BAIRRO SOCIALISTA","RUA","5742cea5-ca67-4b7a-b84e-abe1f4dd3724"
"8b37d4e4-34eb-451a-ae6a-f78f18ffb798","BAIRRO SOCIALISTA","76800000","RUA HUMAITA","S/N","RUA HUMAITA, S/N - BAIRRO SOCIALISTA","RUA","5742cea5-ca67-4b7a-b84e-abe1f4dd3724"
"9bad2526-121b-4e93-a9a6-846cbedbf238","BAIRRO JARDIM SANTANA","76800000","RUA ALEXANDRE GUIMARAES","S/N","RUA ALEXANDRE GUIMARAES, S/N - BAIRRO JARDIM SANTANA","RUA","5742cea5-ca67-4b7a-b84e-abe1f4dd3724"
"084763ff-dee1-48d9-bc83-bf6d9fe3bf65","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","a2cd7c6d-1093-4860-9980-bc406e84520e"
"4ce1fec3-c9cc-44bb-9ee1-4fcefad8ab0c","SEM BAIRRO","76870000","AVENIDA HUGO FREY","1","AVENIDA HUGO FREY - SETOR 1","AVENIDA","cd30f85f-d852-4a0d-826c-892ecac4bb4d"
"606131cc-364c-4569-abe1-9119f448e996","SEM BAIRRO","65700000","ESTRADA BELA VISTA","S/N","ESTRADA BELA VISTA","ESTRADA","a19570a1-0c0c-4fb2-99a6-356850cc83c6"
"86e62abd-9c64-49fa-a1b6-7cad774af5dc","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","cd30f85f-d852-4a0d-826c-892ecac4bb4d"
"03f452ad-877c-4ebb-9039-dddc8b730ec2","SEM BAIRRO","DESCONHECIDO","LOTE 115","115","LOTE 115, SECCAO C, AV. EDSON LIMA DO NASCIMENTO","LOTE","a3f48a82-8fc3-4f3c-952f-e09856c9edc0"
"73ac46de-80d4-4f98-b2c0-124eb02b1e07","SEM BAIRRO","76900000","AVENIDA EDSON LIMA DO NASCIMENTO","6380","AV EDSON LIMA DO NASCIMENTO, 6380- RESIDENCIAL CAPELASSO","AVENIDA","a3f48a82-8fc3-4f3c-952f-e09856c9edc0"
"cd714a85-c43f-4c31-bbaa-0d11795fb068","BAIRRO PRESIDENCIAL III","76900000","ESTRADA KM 05","05","ESTRADA KM 05, BAIRRO PRESIDENCIAL III","ESTRADA","a3f48a82-8fc3-4f3c-952f-e09856c9edc0"
"5412b7e9-2455-4e8a-8c7f-31b03c1fa7ca","SEM BAIRRO","76960000","LOTE 86","7","LOTE 86 - GLEBA 7 - SETOR JI-PARANA","LOTE","7b6b6de2-9111-47ea-a146-322b47678b28"
"6478124f-adc0-421d-bb5c-83cb78f089fb","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","7b6b6de2-9111-47ea-a146-322b47678b28"
"23d1fec5-bbe6-4f88-a0b3-787bccfff74f","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","7b6b6de2-9111-47ea-a146-322b47678b28"
"a421d620-0a1b-4505-868f-f8a1eab31a79","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","6d9b0eb6-80ae-4445-bf32-773cfa1aaf4b"
"a366bfe9-4ea7-4964-aa87-7436b328d78f","SEM BAIRRO","76940000","RUA 5004","09","RUA 5004 - LOTEAMENTO SETOR 80 - QD 05, 06, 07, 08 E 09","RUA","0b51c01a-d074-4ba6-9c59-e5694e8e09c3"
"78c8c8f7-3df4-4858-89d2-d4c01d771abb","SEM BAIRRO","69190000","ESTRADA DOS MORAES S/N","S/N","ESTRADA DOS MORAES S/N","ESTRADA","8e185dbe-2f4c-47c6-954c-3b890b48ca2d"
"c2eb2d0c-3980-4457-927e-fae91ef6dcd1","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","0b51c01a-d074-4ba6-9c59-e5694e8e09c3"
